_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,WhPerMile,kWhRequested,milesRequested,minutesAvailable,modifiedAt,paymentRequired,requestedDeparture,userID
6004e49bf9af8b546d1d6e02,0039,"Fri, 01 Jan 2021 16:47:15 GMT","Fri, 01 Jan 2021 17:44:11 GMT","Fri, 01 Jan 2021 17:44:07 GMT",6.553,2_39_91_437_2021-01-01 16:47:14.750403,0002,CA-317,2-39-91-437,America/Los_Angeles,000001039,283.0,28.3,100.0,288.0,"Fri, 01 Jan 2021 16:47:53 GMT",True,"Fri, 01 Jan 2021 21:35:15 GMT",1039.0
6004e49bf9af8b546d1d6e03,0039,"Fri, 01 Jan 2021 22:29:34 GMT","Fri, 01 Jan 2021 23:20:56 GMT",,35.503,2_39_81_4550_2021-01-01 22:29:30.587407,0002,11900388,2-39-81-4550,America/Los_Angeles,000009561,299.0,38.87,130.0,480.0,"Fri, 01 Jan 2021 22:29:34 GMT",True,"Sat, 02 Jan 2021 06:29:34 GMT",9561.0
6004e49bf9af8b546d1d6e04,0039,"Fri, 01 Jan 2021 22:49:19 GMT","Fri, 01 Jan 2021 23:21:02 GMT","Fri, 01 Jan 2021 23:20:57 GMT",3.321,2_39_83_386_2021-01-01 22:49:18.699106,0002,CA-212,2-39-83-386,America/Los_Angeles,000007132,274.0,27.4,100.0,480.0,"Fri, 01 Jan 2021 22:49:28 GMT",True,"Sat, 02 Jan 2021 06:49:19 GMT",7132.0
6004e49bf9af8b546d1d6e04,0039,"Fri, 01 Jan 2021 22:49:19 GMT","Fri, 01 Jan 2021 23:21:02 GMT","Fri, 01 Jan 2021 23:20:57 GMT",3.321,2_39_83_386_2021-01-01 22:49:18.699106,0002,CA-212,2-39-83-386,America/Los_Angeles,000007132,274.0,8.22,30.0,480.0,"Fri, 01 Jan 2021 22:49:38 GMT",True,"Sat, 02 Jan 2021 06:49:19 GMT",7132.0
6004e49bf9af8b546d1d6e05,0039,"Sat, 02 Jan 2021 01:22:38 GMT","Sat, 02 Jan 2021 03:13:35 GMT","Sat, 02 Jan 2021 02:28:29 GMT",2.203,2_39_78_365_2021-01-02 01:22:37.583016,0002,CA-321,2-39-78-365,America/Los_Angeles,000001082,290.0,5.8,20.0,120.0,"Sat, 02 Jan 2021 01:23:17 GMT",True,"Sat, 02 Jan 2021 03:22:38 GMT",1082.0
6004e49bf9af8b546d1d6e06,0039,"Sat, 02 Jan 2021 02:03:29 GMT","Sat, 02 Jan 2021 02:19:50 GMT",,11.827,2_39_81_4550_2021-01-02 02:03:26.186580,0002,11900388,2-39-81-4550,America/Los_Angeles,000009283,319.0,28.71,90.0,270.0,"Sat, 02 Jan 2021 02:03:28 GMT",True,"Sat, 02 Jan 2021 06:33:29 GMT",9283.0
6004e49bf9af8b546d1d6e07,0039,"Sat, 02 Jan 2021 02:53:51 GMT","Sat, 02 Jan 2021 03:23:48 GMT",,7.646,2_39_81_4550_2021-01-02 02:53:45.713992,0002,11900388,2-39-81-4550,America/Los_Angeles,000009283,319.0,28.71,90.0,270.0,"Sat, 02 Jan 2021 02:53:51 GMT",True,"Sat, 02 Jan 2021 07:23:51 GMT",9283.0
6004e49bf9af8b546d1d6e08,0039,"Sat, 02 Jan 2021 04:34:46 GMT","Sat, 02 Jan 2021 05:22:23 GMT",,31.138,2_39_81_4550_2021-01-02 04:34:39.442790,0002,11900388,2-39-81-4550,America/Los_Angeles,000000915,286.0,71.5,250.0,721.0,"Sat, 02 Jan 2021 04:34:46 GMT",True,"Sat, 02 Jan 2021 16:35:46 GMT",915.0
6006361cf9af8b569d876177,0039,"Sat, 02 Jan 2021 15:07:37 GMT","Sat, 02 Jan 2021 15:55:46 GMT",,12.768,2_39_81_4550_2021-01-02 15:07:37.007402,0002,11900388,2-39-81-4550,America/Los_Angeles,000007132,274.0,27.4,100.0,480.0,"Sat, 02 Jan 2021 15:08:06 GMT",True,"Sat, 02 Jan 2021 23:07:37 GMT",7132.0
6006361cf9af8b569d876178,0039,"Sat, 02 Jan 2021 19:46:34 GMT","Sat, 02 Jan 2021 20:20:39 GMT",,16.573,2_39_81_4550_2021-01-02 19:46:33.543224,0002,11900388,2-39-81-4550,America/Los_Angeles,000000268,283.0,28.3,100.0,480.0,"Sat, 02 Jan 2021 19:46:53 GMT",True,"Sun, 03 Jan 2021 03:46:34 GMT",268.0
